published_time,title,text,time,location,height
"January 19, 2018",Road traffic accidents down by 40 per cent,"In spite of increase in the number of vehicles in recent years, injury from road traffic accidents declined by 40 per cent in the country. This is primarily due to intensified enforcement by Road Safety and Transport Authority, Royal Bhutan Police and better roads infrastructure. This is further expected to improve as stakeholders step up its regulations in coming years.In less than eight years since Bhutan became a party to the Decade of Action for Road Safety 2011-2020, the number of road accidents has reduced. In the country, 10 per cent of the non-communicable diseases death is due to injuries, mostly road traffic accidents.“Road traffic accidents have reduced; we have targeted 10-20% reduction in 2020. But as of now since 2011, we see that the road traffic accidents have reduced by almost about 40 per cent,” said Dr. Karma Lhazeen, the Director of Department of Public Health. “We have achieved that probably due to good enforcement, better roads that have been constructed by the relevant sectors.”Also to achieve this target, WHO SEARO emphasised the importance of gathering more and better data on road safety incidents. The WHO indicates good data allows authorities to analyse and understand the factors causing road crashes, as well as to devise and implement cost-effective solutions. However, the challenge at present is due to gaps in the information that are collected in the country.“In terms of challenges, sharing of information between the sectors because RSTA they collect a set of information, Health Ministry collect on the injury and deaths, there are different sources of information,” added Dr. Karma Lhazeen, which deprives them of concrete information needed to assess the decade of action impacts. However, the relevant stakeholders (RSTA, Police and Health Ministry) are working towards improving the system of information sharing.As per the Decade of Action for Road Safety 2011-2020, as well as the Sustainable Development Goals, countries are striving to halve the number of deaths and injuries from road traffic accidents by 2020.",[],ions in coming years,no metre height
"March 1, 2018","2 killed, 1 injured in accident","Two men, both in their mid 20s, have died on the spot in a tripper truck accident in Gemja, about 25 kilometres from Nobding towards Wangdue Phodrang.The accident took place around 8:30 yesterday morning.One of the deceased was behind the wheel. The truck fell 750 feet below the road. There was another man in the truck. He has been referred to the national referral hospital with serious injuries including fractured leg and arm.Police said the accident could have been caused by speeding.","['around 8:30', 'morning']",ional referral hospital with serious injuries including fractured leg and arm,kilo
"March 29, 2018",Accident in Tsirang kills 2,"Two people died on the spot when the Bolero pickup truck plunged over 100 metres off the road in Tsirang. The freak mishap took place on Tuesday when the vehicle was heading Barshong Gewog from Damphu Town.Three other inmates in the Bolero were also injured and referred to Tsirang Hospital.  They are in stable condition now, states the medical report. Police suspect reckless and unlicensed driving could have caused the accident.",[],es in the Bolero were also injured and referred to Tsirang Hospital,100
"March 29, 2018",Man dies in truck accident in Kamji,"A 61-year-old man from Gaeddu died on the spot after the truck he was travelling in veered off the road at Kamji in Chhukha today.The driver of the truck, a 35-year-old man Shongphu in Trashigang, had managed to survive, but he is said to have sustained major limb fractures.The driver said the accident was caused by mechanical failure.",[], Kamji in Chhukha today,no metre height
"April 2, 2018",Father and son die in accident,"An accident in Samdrup Jongkhar has claimed the lives of a father and a son. The father was 36-year-old and the son was just five.The accident occurred at a place called Lemsorong, some 28 kilometres away from Samdrup Jongkhar town.The truck that the father was driving had fallen about 170 metres below the road.The father-son duo was travelling to Pema Gatshel from Samdrup Jongkhar when the mishap occurred.The cause of the accident is yet to be ascertained.",[],her and a son,kilo
"April 27, 2018",Four die in accident at Ganglakha,"Four men have died after two Toyota Prados veered off the road in Ganglakha, some 12 kilometers away from Gaeddu. The tragic accidents happened Wednesday afternoon.Foggy weather is believed to have caused the accidents in which the two cars plunged below the road in the same spot only seconds or minutes apart.The first Prado was carrying five people, while the second had three.Both the cars were headed for Phuentshogling when the tragedy struck.","['Wednesday afternoon', 'only seconds']",her is believed to have caused the accidents in which the two cars plunged below the road in the same spot only seconds or minutes apart,struck.
"May 24, 2018",Man dies in accident,"A 27 year-old man from Samdrup Jongkhar died in an accident few kilometres away from Chazam in Trashigang.The tanker truck he was driving fell about a hundred meters below the road. The mishap occurred last night, but the body of the deceased was retrieved early this morning.The cause of accident is not yet known. A Royal Semso has been handed over to the family.","['last night', 'early this morning']",no location info,kilo
"June 16, 2018","Four killed, one injured in Nyera Amachu accident in SJ","Four men were killed and another seriously injured in a blasting accident in the tunnel of the Nyera Amachu Hydropower Project in Martshala Gewog in Samdrup Jongkhar. The accident happened yesterday morning.The deceased as well as the injured are workers of the Construction Development Corporation Limited (CDCL).CDCL is executing the construction of the Nyera Amachu Hydropower Project.The deceased were in their 20s and 30s. They and the injured worker were in tunnel clearing debris from a blasting carried out Thursday evening when the explosion occurred.It is not clear what caused the explosion. Initial reports suggested it could have been an accidental detonation of an explosive, but officials are now saying it’s not the case.They say explosives cannot cause a damage of this scale. Also, the victims have sustained burn injuries and explosives do not cause burn injuries. Officials think it could have been a gas explosion.Investigations are being carried out to ascertain the cause.The bodies of the men were recovered around 5 this evening and handed over to the family members.The recovery works couldn’t be carried out immediately because the blast has damaged the air filter, cutting off oxygen supply to the tunnel.Of the four dead, two were from Zhemgang and the other two from Samdrup Jongkhar.Meanwhile, the injured worker is being treated at a hospital in Guwahati in India. The doctors in Samdrup Jongkhar referred him to Monggar Regional Referral Hospital but because of the road block in Narphung, he was taken to Guwahati instead.This is the second such accident reported at the Nyera Amachu Hydropower Project.In August last year, three workers of CDCL were injured in an explosion at the project site in Gomdar Gewog. The workers were drilling a rock for blasting when the explosion occurred.That explosion, CDCL officials, said could have been caused by leftover explosives.","['yesterday morning', 'evening', '5 this evening']",ion Limited (CDCL),no metre height
"June 16, 2018","One dead, eight injured in Namling accident",A 31-year-old man has died and eight others were injured in a vehicle accident in Namling between Sengor and Lingmethang in Monggar.The bolero they were traveling fell about 300 metres below the road. The accident took place around 9:30 last night.The eight injured have been referred to Monggar Regional Referral Hospital. One is said to be in a critical condition.They are all laborers working at a chorten construction in Thrimshingla and were on their way to Thrimshingla from Monggar when the mishap happened.Police suspect foggy weather to have caused the accident.,['around 9:30 last night'], a chorten construction in Thrimshingla and were on their way to Thrimshingla from Monggar when the mishap happened,300
"July 2, 2018","5 killed, 22 injured in tripper truck accident","Five people were killed and 22 others injured in a tripper truck accident at Rikhey under Dewathang Gewog, Samdrup Jongkhar. The accident happened Saturday evening at around 5:30 pm.There were 27 people in the truck when it went 100 metres below the road. The BBS correspondent in Samdrup Jongkhar, Kinley Wangchuk said they were returning to Dewathang from Rikhey after completing voluntary works at a shedra.Meanwhile, injured passengers are recovering at Dewathang and Samdrup Jongkhar hospitals. Although the cause of the accident is yet to be ascertained, RSTA officials have found out that the tripper truck was driven by an unlicensed driver, who is also recovering at the one of the aforementioned hospitals.The Dzongkhag Kidu Office has provided Royal Semso to the families of the five deceased.","['Saturday evening', 'around 5:30 pm']", Rikhey under Dew,100
